"LocationID","DBA","StreetAddress","City","Zip","Type Description","Census","SubDistrict","Excellence","District","Status","LocationTypeID","symboltext"
264,"MELT!","700 COLUMBUS AVE ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","104",401,"No",4,"Active",7,""
267,"ASA SUSHI","2365 CHESTNUT ST ","SAN FRANCISCO","94123","Restaurant, < 1000 sq'","128",206,"No",2,"Active",7,""
268,"LOS HERMANOS","2026 CHESTNUT ST ","SAN FRANCISCO","94123","Restaurant, < 1000 sq'","126",206,"No",2,"Active",7,""
271,"SHALIMAR ON POLK","1409 POLK ST ","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","111",403,"No",4,"Active",7,""
272,"ON THE BRIDGE","1581 WEBSTER ST #206","SAN FRANCISCO","94115","Restaurant, < 1000 sq'","155",201,"No",2,"Active",7,""
5,"CREPE & CURRY","5 EMBARCADERO CENTER  ","SAN FRANCISCO","","Restaurant, < 1000 sq'","116",406,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
10,"TIRAMISU KITCHEN","033 BELDEN PL","SAN FRANCISCO","94104","Restaurant, < 1000 sq'","117A",402,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
12,"KIKKA","250 EMBARCADERO  7/F","SAN FRANCISCO","94105","Restaurant, < 1000 sq'","179",304,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
14,"AFC SUSHI @ CALA 907","1095 HYDE ST","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","111",403,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
17,"GEORGE COFFEE SHOP","2200 OAKDALE AVE ","SAN FRANCISCO","94124","Restaurant, < 1000 sq'","609",305,"No",3,"Active",7,""
19,"NRGIZE LIFESTYLE CAFE","1200 VAN NESS AVE, 3RD FLOOR","SAN FRANCISCO","94109","Restaurant, < 1000 sq'","120",403,"No",4,"Active",7,""
24,"OMNI S.F. HOTEL - 2ND FLOOR PANTRY","500 CALIFORNIA ST, 2ND  FLOOR","SAN FRANCISCO","94104","Restaurant, < 1000 sq'","117A",402,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
25,"LITTLE SPOT CAFE, THE","1199 SO VAN NESS AVE ","SAN FRANCISCO","94110","Restaurant, < 1000 sq'","229",306,"No",3,"Active",7,""
29,"CHICO'S PIZZA","131 06TH ST ","SAN FRANCISCO","94103","Restaurant, < 1000 sq'","176B",306,"No",3,"Active",7,""
31,"NORMAN'S ICE CREAM AND FREEZES","2801 LEAVENWORTH ST ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","102",407,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
37,"CAFE BISTRO","4141 GEARY BLVD ","SAN FRANCISCO","94118","Restaurant, < 1000 sq'","451",204,"No",2,"Active",7,""
230,"GLOBE EATS INC","290 PACIFIC AVE ","SAN FRANCISCO","94111","Restaurant, < 1000 sq'","105",407,"No",4,"Active",7,""
231,"CAFFE PUCCINI","411 COLUMBUS AVE ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","107A",405,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
234,"NEW MOON RESTAURANT","1247 STOCKTON ST ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","107B",401,"No",4,"Active",7,""
236,"GELATO CLASSICO ITALIAN ICE","576 UNION ST ","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","106",407,"No",4,"Active",7,""
239,"JUST WONTON","1241 VICENTE ST ","SAN FRANCISCO","94116","Restaurant, < 1000 sq'","330",501,"No",5,"Active",7,""
240,"MIKI RESTAURANT","3639 BALBOA ST ","SAN FRANCISCO","94121","Restaurant, < 1000 sq'","478",204,"No",2,"Active",7,""
241,"BASHFUL BULL RESTAURANT","1222 NORIEGA ST ","SAN FRANCISCO","94122","Restaurant, < 1000 sq'","328",501,"No",5,"Active",7,""
247,"TOY BOAT DESSERT CAFE","401 CLEMENT ST ","SAN FRANCISCO","94118","Restaurant, < 1000 sq'","401",205,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
251,"BEANERY INC.","602 IRVING ST ","SAN FRANCISCO","94122","Restaurant, < 1000 sq'","302",502,"No",5,"Active",7,""
252,"TOYOSE","3814 NORIEGA ST ","SAN FRANCISCO","94122","Restaurant, < 1000 sq'","352",204,"Yes",5,"Active",7,"This Location Has Received the Symbol of Excellence"
253,"ANN'S DONUT COFFEE SHOP","4488 MISSION ST ","SAN FRANCISCO","94112","Restaurant, < 1000 sq'","255",506,"No",5,"Active",7,""
256,"MARCHE CLUB OF S.F.","4346 MISSION ST ","SAN FRANCISCO","94112","Restaurant, < 1000 sq'","255",506,"Yes",5,"Active",7,"This Location Has Received the Symbol of Excellence"
257,"JOE'S CABLE CAR RESTAURANT","4320 MISSION ST ","SAN FRANCISCO","94112","Restaurant, < 1000 sq'","255",506,"Yes",5,"Active",7,"This Location Has Received the Symbol of Excellence"
258,"VIKINGS GIANT SUBMARINE","1300 OCEAN AVE ","SAN FRANCISCO","94112","Restaurant, < 1000 sq'","310",506,"No",5,"Active",7,""
259,"BIG JOE'S #2","717 MONTEREY BLVD ","SAN FRANCISCO","94127","Restaurant, < 1000 sq'","311",506,"Yes",5,"Active",7,"This Location Has Received the Symbol of Excellence"
260,"MONTEREY PIZZA","599 MONTEREY BLVD ","SAN FRANCISCO","94127","Restaurant, < 1000 sq'","311",506,"No",5,"Active",7,""
40,"MO'S COFFEE BAR","750 FOLSOM ST ","SAN FRANCISCO","94107","Restaurant, < 1000 sq'","176A",303,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
45,"CHARLIE'S DELI CAFÉ","3202 FOLSOM ST ","SAN FRANCISCO","94110","Restaurant, < 1000 sq'","252",305,"Yes",3,"Active",7,"This Location Has Received the Symbol of Excellence"
48,"ART'S CAFE","747 IRVING ST ","SAN FRANCISCO","94122","Restaurant, < 1000 sq'","302",502,"No",5,"Active",7,""
50,"SUSHI ZONE","1815  MARKET ST. ","SAN FRANCISCO","94103","Restaurant, < 1000 sq'","202",503,"No",5,"Active",7,""
54,"RHODA GOLDMAN PLAZA","2180 POST ST ","SAN FRANCISCO","94115","Restaurant, < 1000 sq'","155",201,"Yes",2,"Active",7,"This Location Has Received the Symbol of Excellence"
56,"CAFE X + O","1799 CHURCH ST ","SAN FRANCISCO","94131","Restaurant, < 1000 sq'","215",506,"Yes",5,"Active",7,"This Location Has Received the Symbol of Excellence"
58,"OASIS GRILL","91 DRUMM ST ","SAN FRANCISCO","94111","Restaurant, < 1000 sq'","117A",402,"Yes",4,"Active",7,"This Location Has Received the Symbol of Excellence"
61,"CHOWDERS","PIER 39  SPACE A3","SAN FRANCISCO","94133","Restaurant, < 1000 sq'","101",401,"No",4,"Active",7,""
