"ViolationTypeID","ViolationType","RiskCategory","ViolExplanation"
447,"003 (CFR) Improper Hot/cold holding temperatures","High Risk","Potentially hazardous food shall be held at or below 41/45°F or at or above 135°F,(113995)"
448,"002 Pooled Shelled Eggs - Unapproved Temps","High Risk","Potentially hazardous food shall be held at or below 41/45°F or at or above 135°F,(113995)"
449,"006 (CFR) Improper Cooking Time/temperatures","High Risk","Comminuted meat, or any food containing comminuted meat, shall be heated to 157°F or 155°F for 15 seconds.  Eggs, and foods containing raw eggs, shall be heated to 145°F. Pork shall be heated to or 145°F.  Poultry, comminuted poultry, stuffed fish, and stuffed meat/poultry shall be heated to 165°F (113996)"
450,"007 (CFR) Improper Reheating","High Risk","Any potentially hazardous food cooked, cooled and reheated for hot holding or serving shall be heated to 165°F. (113998)"
451,"005 (CFR) Improper Cooling Methods","High Risk","All potentially hazardous food shall be RAPIDLY cooled from 135°F to 70°F, within 2 hours, and then from 70°F to 41°F within 4 hours.  Cooling shall be by one or more of the following methods: in shallow containers; separating food into smaller portions; adding ice as an ingredient; using an ice bath, stirring frequently; using rapid cooling equipment; or using containers that facilitate heat transfer.  (114002)"
452,"008 (CFR) Food in Poor Condition; unsafe/adulterated","High Risk","Any food is adulterated if it bears or contains any poisonous or deleterious substance that may render it impure or injurious to health.  (110545, 113980)"
453,"017 (CFR) Discharge from Eyes/Nose/Mouth","Moderate Risk","Employees with a communicable  disease shall be excluded from the food facility/preparation of food.  Gloves shall be worn if an employee has cuts, sores, rashes.  No employee shall commit any act that may contaminate or adulterate food, food-contact surface, or utensils.  (114020, 114022)"
454,"002 (CFR) Hands not clean/improperly washed/gloves improperly used","High Risk","Employee are required to wash their hands: before beginning work; before handling food/equipment/utensils; as often as necessary, during food preparation, to remove soil and contamination; when switching from working with raw to eat foods, after touching body parts; using toilet room; or any time when contamination may occur.  (114020, 1141115)"
455,"014 (CFR) Rodents/Roaches/Flies/Other Animals","High Risk","Each food facility shall be kept free of vermin: rodents, (rats, mice), cockroaches, flies.(114040)"
456,"010 Cockroaches - Immediate Risk","High Risk","Each food facility shall be kept free of vermin: rodents, (rats, mice), cockroaches, flies.(114040)"
457,"011 Flies - Immediate Risk","High Risk","Each food facility shall be kept free of vermin: rodents, (rats, mice), cockroaches, flies.(114040)"
