"ViolationTypeID","ViolationType","ViolationCategoryID","ViolationDeduction","RiskCategory"
95,"Weeds Overgrowing Premises",11,,""
96,"Trees/Shrubs extending into Sidewalk/Street",11,,""
97,"Mice",12,,""
98,"Rats",12,,""
99,"Pigeons",12,,""
100,"Cockroaches",12,,""
101,"Ants",12,,""
102,"Spiders",12,,""
103,"Mites",12,,""
104,"Fleas",12,,""
105,"Ticks",12,,""
106,"Lice",12,,""
107,"Bed Bugs",12,,""
108,"Flies",12,,""
109,"Mosquitoes",12,,""
110,"Bees",12,,""
111,"Wasps",12,,""
112,"Other",12,,""
113,"Garbage on Premises",13,,""
114,"Refuse on Street/Sidewalk",13,,""
115,"Over Flowing Trash Bins",13,,""
116,"Debris",13,,""
117,"No/Inadequate Trash Cans or Lids",13,,""
118,"Abandoned Vehicle",13,,""
119,"Abandoned Lead-Acid Battery",13,,""
120,"Hoarding",13,,""
121,"No Garbage Service",13,,""
122,"General Unsanitary Premises",13,,""
123,"Spoiled Food/Putrescibles",13,,""
124,"Dumping Garbage",13,,""
125,"Litter/Waste Paper",13,,""
126,"Other",13,,""
127,"Dogs",14,,""
128,"Cats",14,,""
129,"Animal Waste",14,,""
130,"Chickens",14,,""
131,"Racoons/Wildlife",14,,""
132,"Other",14,,""
135,"Intermitent/Periodic",15,,""
136,"Continuous/Persistant",15,,""
137,"Other",15,,""
138,"Smoking",16,,""
139,"Ventilation",16,,""
140,"Radon",16,,""
141,"Dust",16,,""
142,"Asbestos",16,,""
143,"Other",16,,""
144,"Unknown Causes",17,,""
145,"Water Intrusion",17,,""
146,"Inadequate/Ventilation",17,,""
147,"Mold more than 2 sq ft",17,,""
148,"Vehicle on Private Property",18,,""
149,"Vehicle on Street/Sidewalk",18,,""
150,"Mouse Infestation",19,,""
151,"Rat Infestation",19,,""
152,"Pigeon Roosting",19,,""
153,"Cockroach Infestation",19,,""
154,"Ant Infestation",19,,""
155,"Spider Infestation",19,,""
156,"Flea Infestation",19,,""
157,"Lice Infestation",19,,""
158,"Scabies Infestation",19,,""
159,"Mosquito Infestation",19,,""
